"SamAccountName","UserPrincipalName","Status","Details","TargetOU","Groups","ExpectedGPOs","Permissions"
"george.moore","george.moore@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"claire.wright","claire.wright@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"oliver.williams","oliver.williams@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"lucas.scott","lucas.scott@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"alfred.baker","alfred.baker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"joseph.scott","joseph.scott@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"claire.morris","claire.morris@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"alfred.brown","alfred.brown@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"joseph.jones","joseph.jones@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"victoria.moore","victoria.moore@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"matthew.johnson","matthew.johnson@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"james.hill","james.hill@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"joseph.hall","joseph.hall@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"george.martin","george.martin@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"daniel.morris","daniel.morris@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"william.allen","william.allen@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"william.thompson","william.thompson@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"olivia.campbell","olivia.campbell@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"olivia.wright","olivia.wright@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"michael.walker","michael.walker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"jack.hall","jack.hall@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"lily.robinson","lily.robinson@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"lucy.edwards","lucy.edwards@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"william.johnson","william.johnson@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"lucy.scott","lucy.scott@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"michael.edwards","michael.edwards@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"matthew.scott","matthew.scott@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"ella.brown","ella.brown@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"noah.turner","noah.turner@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"noah.harris","noah.harris@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"ella.clarke","ella.clarke@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"hannah.walker","hannah.walker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"jack.edwards","jack.edwards@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"oliver.jackson","oliver.jackson@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"jacob.wilson","jacob.wilson@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"michael.clarke","michael.clarke@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"lucy.walker","lucy.walker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"noah.martin","noah.martin@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"lily.evans","lily.evans@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"emma.clarke","emma.clarke@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"noah.wood","noah.wood@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"henry.allen","henry.allen@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"thomas.smith","thomas.smith@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"emma.baker","emma.baker@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"jack.young","jack.young@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"victoria.clark","victoria.clark@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"samuel.mitchell","samuel.mitchell@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"benjamin.baker","benjamin.baker@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"benjamin.hall","benjamin.hall@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"lily.hall","lily.hall@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"samuel.parker","samuel.parker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"amber.wright","amber.wright@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"victoria.green","victoria.green@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"amelia.king","amelia.king@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"claire.jackson","claire.jackson@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"jack.mitchell","jack.mitchell@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"lucy.hill","lucy.hill@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"daniel.wood","daniel.wood@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"ethan.young","ethan.young@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"emma.green","emma.green@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"ella.jackson","ella.jackson@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"claire.parker","claire.parker@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"james.smith","james.smith@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"james.evans","james.evans@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"michael.campbell","michael.campbell@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"benjamin.williams","benjamin.williams@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"hannah.johnson","hannah.johnson@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"charlotte.moore","charlotte.moore@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"claire.allen","claire.allen@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
"noah.thompson","noah.thompson@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"lucas.robinson","lucas.robinson@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"michael.mitchell","michael.mitchell@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"jessica.edwards","jessica.edwards@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local","",""
"sarah.jones","sarah.jones@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local","","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"grace.parker","grace.parker@mags.local","Created","Account enabled; password change required at first logon.","OU=Salg,DC=mags,DC=local","CN=GG-Salg,OU=Salg,DC=mags,DC=local|CN=Terminal Server License Servers,CN=Builtin,DC=mags,DC=local|CN=Users,CN=Builtin,DC=mags,DC=local","","Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"ethan.walker","ethan.walker@mags.local","Created","Account enabled; password change required at first logon.","OU=IT,DC=mags,DC=local","CN=GG-IT,OU=IT,DC=mags,DC=local","",""
