"EmployeeID";"GivenName";"Surname";"DisplayName";"SourceCompany";"SourceDomain";"SourceUserPrincipalName";"TargetCompany";"TargetDomain";"SamAccountName";"UserPrincipalName";"Department";"Title";"TargetOU";"Groups";"Permissions";"ExpectedGPOs"
"MIG0011";"Alfred";"Morris";"Alfred Morris";"OnlyMAGS";"onlymags.local";"employee0011@onlymags.local";"Mags";"mags.local";"alfred.morris";"alfred.morris@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0012";"Thomas";"Taylor";"Thomas Taylor";"OnlyMAGS";"onlymags.local";"employee0012@onlymags.local";"Mags";"mags.local";"thomas.taylor";"thomas.taylor@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0013";"Andrew";"Evans";"Andrew Evans";"OnlyMAGS";"onlymags.local";"employee0013@onlymags.local";"Mags";"mags.local";"andrew.evans";"andrew.evans@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0014";"Oliver";"Martin";"Oliver Martin";"OnlyMAGS";"onlymags.local";"employee0014@onlymags.local";"Mags";"mags.local";"oliver.martin";"oliver.martin@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0015";"Sarah";"Walker";"Sarah Walker";"OnlyMAGS";"onlymags.local";"employee0015@onlymags.local";"Mags";"mags.local";"sarah.walker";"sarah.walker@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT";"";""
"MIG0016";"Charles";"Jackson";"Charles Jackson";"OnlyMAGS";"onlymags.local";"employee0016@onlymags.local";"Mags";"mags.local";"charles.jackson";"charles.jackson@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0017";"George";"Moore";"George Moore";"OnlyMAGS";"onlymags.local";"employee0017@onlymags.local";"Mags";"mags.local";"george.moore";"george.moore@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0018";"Claire";"Wright";"Claire Wright";"OnlyMAGS";"onlymags.local";"employee0018@onlymags.local";"Mags";"mags.local";"claire.wright";"claire.wright@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Users|Terminal Server License Servers";"Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0019";"Oliver";"Williams";"Oliver Williams";"OnlyMAGS";"onlymags.local";"employee0019@onlymags.local";"Mags";"mags.local";"oliver.williams";"oliver.williams@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0020";"Lucas";"Scott";"Lucas Scott";"OnlyMAGS";"onlymags.local";"employee0020@onlymags.local";"Mags";"mags.local";"lucas.scott";"lucas.scott@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Terminal Server License Servers";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0021";"Alfred";"Baker";"Alfred Baker";"OnlyMAGS";"onlymags.local";"employee0021@onlymags.local";"Mags";"mags.local";"alfred.baker";"alfred.baker@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT";"";""
"MIG0022";"Joseph";"Scott";"Joseph Scott";"OnlyMAGS";"onlymags.local";"employee0022@onlymags.local";"Mags";"mags.local";"joseph.scott";"joseph.scott@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Users";"Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0023";"Claire";"Morris";"Claire Morris";"OnlyMAGS";"onlymags.local";"employee0023@onlymags.local";"Mags";"mags.local";"claire.morris";"claire.morris@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0024";"Alfred";"Brown";"Alfred Brown";"OnlyMAGS";"onlymags.local";"employee0024@onlymags.local";"Mags";"mags.local";"alfred.brown";"alfred.brown@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT";"";""
"MIG0025";"Joseph";"Jones";"Joseph Jones";"OnlyMAGS";"onlymags.local";"employee0025@onlymags.local";"Mags";"mags.local";"joseph.jones";"joseph.jones@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users";"Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0026";"Victoria";"Moore";"Victoria Moore";"OnlyMAGS";"onlymags.local";"employee0026@onlymags.local";"Mags";"mags.local";"victoria.moore";"victoria.moore@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT";"";""
"MIG0027";"Matthew";"Johnson";"Matthew Johnson";"OnlyMAGS";"onlymags.local";"employee0027@onlymags.local";"Mags";"mags.local";"matthew.johnson";"matthew.johnson@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0028";"James";"Hill";"James Hill";"OnlyMAGS";"onlymags.local";"employee0028@onlymags.local";"Mags";"mags.local";"james.hill";"james.hill@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users";"Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0029";"Joseph";"Hall";"Joseph Hall";"OnlyMAGS";"onlymags.local";"employee0029@onlymags.local";"Mags";"mags.local";"joseph.hall";"joseph.hall@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0030";"George";"Martin";"George Martin";"OnlyMAGS";"onlymags.local";"employee0030@onlymags.local";"Mags";"mags.local";"george.martin";"george.martin@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0031";"Daniel";"Morris";"Daniel Morris";"OnlyMAGS";"onlymags.local";"employee0031@onlymags.local";"Mags";"mags.local";"daniel.morris";"daniel.morris@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users";"Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0032";"William";"Allen";"William Allen";"OnlyMAGS";"onlymags.local";"employee0032@onlymags.local";"Mags";"mags.local";"william.allen";"william.allen@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0033";"William";"Thompson";"William Thompson";"OnlyMAGS";"onlymags.local";"employee0033@onlymags.local";"Mags";"mags.local";"william.thompson";"william.thompson@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Terminal Server License Servers";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0034";"Olivia";"Campbell";"Olivia Campbell";"OnlyMAGS";"onlymags.local";"employee0034@onlymags.local";"Mags";"mags.local";"olivia.campbell";"olivia.campbell@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT";"";""
"MIG0035";"Olivia";"Wright";"Olivia Wright";"OnlyMAGS";"onlymags.local";"employee0035@onlymags.local";"Mags";"mags.local";"olivia.wright";"olivia.wright@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users";"Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0036";"Michael";"Walker";"Michael Walker";"OnlyMAGS";"onlymags.local";"employee0036@onlymags.local";"Mags";"mags.local";"michael.walker";"michael.walker@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT";"";""
"MIG0037";"Jack";"Hall";"Jack Hall";"OnlyMAGS";"onlymags.local";"employee0037@onlymags.local";"Mags";"mags.local";"jack.hall";"jack.hall@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Users";"Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0038";"Lily";"Robinson";"Lily Robinson";"OnlyMAGS";"onlymags.local";"employee0038@onlymags.local";"Mags";"mags.local";"lily.robinson";"lily.robinson@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users|Terminal Server License Servers";"Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0039";"Lucy";"Edwards";"Lucy Edwards";"OnlyMAGS";"onlymags.local";"employee0039@onlymags.local";"Mags";"mags.local";"lucy.edwards";"lucy.edwards@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0040";"William";"Johnson";"William Johnson";"OnlyMAGS";"onlymags.local";"employee0040@onlymags.local";"Mags";"mags.local";"william.johnson";"william.johnson@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Users|Terminal Server License Servers";"Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0041";"Lucy";"Scott";"Lucy Scott";"OnlyMAGS";"onlymags.local";"employee0041@onlymags.local";"Mags";"mags.local";"lucy.scott";"lucy.scott@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0042";"Michael";"Edwards";"Michael Edwards";"OnlyMAGS";"onlymags.local";"employee0042@onlymags.local";"Mags";"mags.local";"michael.edwards";"michael.edwards@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT";"";""
"MIG0043";"Matthew";"Scott";"Matthew Scott";"OnlyMAGS";"onlymags.local";"employee0043@onlymags.local";"Mags";"mags.local";"matthew.scott";"matthew.scott@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0044";"Ella";"Brown";"Ella Brown";"OnlyMAGS";"onlymags.local";"employee0044@onlymags.local";"Mags";"mags.local";"ella.brown";"ella.brown@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT";"";""
"MIG0045";"Noah";"Turner";"Noah Turner";"OnlyMAGS";"onlymags.local";"employee0045@onlymags.local";"Mags";"mags.local";"noah.turner";"noah.turner@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users";"Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0046";"Noah";"Harris";"Noah Harris";"OnlyMAGS";"onlymags.local";"employee0046@onlymags.local";"Mags";"mags.local";"noah.harris";"noah.harris@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0047";"Ella";"Clarke";"Ella Clarke";"OnlyMAGS";"onlymags.local";"employee0047@onlymags.local";"Mags";"mags.local";"ella.clarke";"ella.clarke@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT";"";""
"MIG0048";"Hannah";"Walker";"Hannah Walker";"OnlyMAGS";"onlymags.local";"employee0048@onlymags.local";"Mags";"mags.local";"hannah.walker";"hannah.walker@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0049";"Jack";"Edwards";"Jack Edwards";"OnlyMAGS";"onlymags.local";"employee0049@onlymags.local";"Mags";"mags.local";"jack.edwards";"jack.edwards@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT";"";""
"MIG0050";"Oliver";"Jackson";"Oliver Jackson";"OnlyMAGS";"onlymags.local";"employee0050@onlymags.local";"Mags";"mags.local";"oliver.jackson";"oliver.jackson@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0051";"Jacob";"Wilson";"Jacob Wilson";"OnlyMAGS";"onlymags.local";"employee0051@onlymags.local";"Mags";"mags.local";"jacob.wilson";"jacob.wilson@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0052";"Michael";"Clarke";"Michael Clarke";"OnlyMAGS";"onlymags.local";"employee0052@onlymags.local";"Mags";"mags.local";"michael.clarke";"michael.clarke@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0053";"Lucy";"Walker";"Lucy Walker";"OnlyMAGS";"onlymags.local";"employee0053@onlymags.local";"Mags";"mags.local";"lucy.walker";"lucy.walker@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Users|Terminal Server License Servers";"Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0054";"Noah";"Martin";"Noah Martin";"OnlyMAGS";"onlymags.local";"employee0054@onlymags.local";"Mags";"mags.local";"noah.martin";"noah.martin@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0055";"Lily";"Evans";"Lily Evans";"OnlyMAGS";"onlymags.local";"employee0055@onlymags.local";"Mags";"mags.local";"lily.evans";"lily.evans@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users";"Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0056";"Emma";"Clarke";"Emma Clarke";"OnlyMAGS";"onlymags.local";"employee0056@onlymags.local";"Mags";"mags.local";"emma.clarke";"emma.clarke@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0057";"Noah";"Wood";"Noah Wood";"OnlyMAGS";"onlymags.local";"employee0057@onlymags.local";"Mags";"mags.local";"noah.wood";"noah.wood@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Terminal Server License Servers";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0058";"Henry";"Allen";"Henry Allen";"OnlyMAGS";"onlymags.local";"employee0058@onlymags.local";"Mags";"mags.local";"henry.allen";"henry.allen@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users";"Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0059";"Thomas";"Smith";"Thomas Smith";"OnlyMAGS";"onlymags.local";"employee0059@onlymags.local";"Mags";"mags.local";"thomas.smith";"thomas.smith@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0060";"Emma";"Baker";"Emma Baker";"OnlyMAGS";"onlymags.local";"employee0060@onlymags.local";"Mags";"mags.local";"emma.baker";"emma.baker@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0061";"Jack";"Young";"Jack Young";"OnlyMAGS";"onlymags.local";"employee0061@onlymags.local";"Mags";"mags.local";"jack.young";"jack.young@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0062";"Victoria";"Clark";"Victoria Clark";"OnlyMAGS";"onlymags.local";"employee0062@onlymags.local";"Mags";"mags.local";"victoria.clark";"victoria.clark@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0063";"Samuel";"Mitchell";"Samuel Mitchell";"OnlyMAGS";"onlymags.local";"employee0063@onlymags.local";"Mags";"mags.local";"samuel.mitchell";"samuel.mitchell@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users|Terminal Server License Servers";"Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0064";"Benjamin";"Baker";"Benjamin Baker";"OnlyMAGS";"onlymags.local";"employee0064@onlymags.local";"Mags";"mags.local";"benjamin.baker";"benjamin.baker@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Terminal Server License Servers";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0065";"Benjamin";"Hall";"Benjamin Hall";"OnlyMAGS";"onlymags.local";"employee0065@onlymags.local";"Mags";"mags.local";"benjamin.hall";"benjamin.hall@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users";"Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0066";"Lily";"Hall";"Lily Hall";"OnlyMAGS";"onlymags.local";"employee0066@onlymags.local";"Mags";"mags.local";"lily.hall";"lily.hall@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0067";"Samuel";"Parker";"Samuel Parker";"OnlyMAGS";"onlymags.local";"employee0067@onlymags.local";"Mags";"mags.local";"samuel.parker";"samuel.parker@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0068";"Amber";"Wright";"Amber Wright";"OnlyMAGS";"onlymags.local";"employee0068@onlymags.local";"Mags";"mags.local";"amber.wright";"amber.wright@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0069";"Victoria";"Green";"Victoria Green";"OnlyMAGS";"onlymags.local";"employee0069@onlymags.local";"Mags";"mags.local";"victoria.green";"victoria.green@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT";"";""
"MIG0070";"Amelia";"King";"Amelia King";"OnlyMAGS";"onlymags.local";"employee0070@onlymags.local";"Mags";"mags.local";"amelia.king";"amelia.king@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg";"";""
"MIG0071";"Claire";"Jackson";"Claire Jackson";"OnlyMAGS";"onlymags.local";"employee0071@onlymags.local";"Mags";"mags.local";"claire.jackson";"claire.jackson@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users";"Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0072";"Jack";"Mitchell";"Jack Mitchell";"OnlyMAGS";"onlymags.local";"employee0072@onlymags.local";"Mags";"mags.local";"jack.mitchell";"jack.mitchell@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0073";"Lucy";"Hill";"Lucy Hill";"OnlyMAGS";"onlymags.local";"employee0073@onlymags.local";"Mags";"mags.local";"lucy.hill";"lucy.hill@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT";"";""
"MIG0074";"Daniel";"Wood";"Daniel Wood";"OnlyMAGS";"onlymags.local";"employee0074@onlymags.local";"Mags";"mags.local";"daniel.wood";"daniel.wood@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0075";"Ethan";"Young";"Ethan Young";"OnlyMAGS";"onlymags.local";"employee0075@onlymags.local";"Mags";"mags.local";"ethan.young";"ethan.young@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers|Users";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage|Users are prevented from making accidental or intentional system-wide changes and can run most applications";""
"MIG0076";"Emma";"Green";"Emma Green";"OnlyMAGS";"onlymags.local";"employee0076@onlymags.local";"Mags";"mags.local";"emma.green";"emma.green@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users|Terminal Server License Servers";"Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0077";"Ella";"Jackson";"Ella Jackson";"OnlyMAGS";"onlymags.local";"employee0077@onlymags.local";"Mags";"mags.local";"ella.jackson";"ella.jackson@mags.local";"IT";"Employee";"OU=IT,DC=mags,DC=local";"GG-IT|Terminal Server License Servers";"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
"MIG0078";"Claire";"Parker";"Claire Parker";"OnlyMAGS";"onlymags.local";"employee0078@onlymags.local";"Mags";"mags.local";"claire.parker";"claire.parker@mags.local";"Salg";"Employee · Salg";"OU=Salg,DC=mags,DC=local";"GG-Salg|Users|Terminal Server License Servers";"Users are prevented from making accidental or intentional system-wide changes and can run most applications|Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage";""
